t_ulog,raw_lift,raw_roll,raw_pitch,raw_yaw,raw_tilt,raw_wheel0,raw_wheel1,sem_lift,sem_roll,sem_pitch,sem_yaw,sem_tilt,sem_wheel0,sem_wheel1,pub0,pub1,pub2,pub3,mode,gate,clip_frac,obs_norm
3.288135489999999663e+02,-3.787343204021453857e-01,1.247469112277030945e-01,1.166626624763011932e-02,3.105545938014984131e-01,-1.300010919570922852e+00,4.698670506477355957e-01,1.064526677131652832e+00,3.106328248977661133e-01,1.247469112277030945e-01,1.166626624763011932e-02,3.105545938014984131e-01,-1.000000000000000000e+00,4.698670506477355957e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.617355888909122408e-01
3.288335489999999481e+02,-4.534198343753814697e-01,1.063265204429626465e-01,3.350565582513809204e-02,3.789811134338378906e-01,-1.336492657661437988e+00,5.043634772300720215e-01,1.039131045341491699e+00,2.732900977134704590e-01,1.063265204429626465e-01,3.350565582513809204e-02,3.789811134338378906e-01,-1.000000000000000000e+00,5.043634772300720215e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.624314913725962928e-01
3.288535489999999868e+02,-5.170413255691528320e-01,9.513547271490097046e-02,2.018646709620952606e-02,3.593950569629669189e-01,-1.350667238235473633e+00,5.076435208320617676e-01,1.078463196754455566e+00,2.414793372154235840e-01,9.513547271490097046e-02,2.018646709620952606e-02,3.593950569629669189e-01,-1.000000000000000000e+00,5.076435208320617676e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.584593247581749464e-01
3.288735489999999686e+02,-4.581936895847320557e-01,1.045961901545524597e-01,3.764716908335685730e-02,3.330688178539276123e-01,-1.308120131492614746e+00,4.899930059909820557e-01,1.056981444358825684e+00,2.709031701087951660e-01,1.045961901545524597e-01,3.764716908335685730e-02,3.330688178539276123e-01,-1.000000000000000000e+00,4.899930059909820557e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.544144639674564168e-01
3.288935489999999504e+02,-4.242148995399475098e-01,9.153140336275100708e-02,2.838871255517005920e-02,3.595246970653533936e-01,-1.300355315208435059e+00,4.752807021141052246e-01,1.066977024078369141e+00,2.878925502300262451e-01,9.153140336275100708e-02,2.838871255517005920e-02,3.595246970653533936e-01,-1.000000000000000000e+00,4.752807021141052246e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.526512102004160765e-01
3.289135489999999891e+02,-4.451609551906585693e-01,7.753600180149078369e-02,2.100716531276702881e-02,3.651130497455596924e-01,-1.316013574600219727e+00,4.996852874755859375e-01,1.079435229301452637e+00,2.774195075035095215e-01,7.753600180149078369e-02,2.100716531276702881e-02,3.651130497455596924e-01,-1.000000000000000000e+00,4.996852874755859375e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.522804771647922273e-01
3.289335489999999709e+02,-4.647198617458343506e-01,8.020019531250000000e-02,4.646027833223342896e-02,4.220764935016632080e-01,-1.322708129882812500e+00,5.126901865005493164e-01,1.037234663963317871e+00,2.676400542259216309e-01,8.020019531250000000e-02,4.646027833223342896e-02,4.220764935016632080e-01,-1.000000000000000000e+00,5.126901865005493164e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.494007023891723795e-01
3.289535489999999527e+02,-4.559516310691833496e-01,8.409243077039718628e-02,3.569625318050384521e-02,3.657051026821136475e-01,-1.306311488151550293e+00,4.807004630565643311e-01,1.086699128150939941e+00,2.720241844654083252e-01,8.409243077039718628e-02,3.569625318050384521e-02,3.657051026821136475e-01,-1.000000000000000000e+00,4.807004630565643311e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.497371322166981766e-01
3.289735489999999913e+02,-4.579351544380187988e-01,8.653734624385833740e-02,6.287775933742523193e-02,4.003004431724548340e-01,-1.295762658119201660e+00,4.999024271965026855e-01,1.034892439842224121e+00,2.710324227809906006e-01,8.653734624385833740e-02,6.287775933742523193e-02,4.003004431724548340e-01,-1.000000000000000000e+00,4.999024271965026855e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.497368586028545945e-01
3.289935489999999731e+02,-4.288799464702606201e-01,9.190440922975540161e-02,8.803031593561172485e-02,4.200195968151092529e-01,-1.293202996253967285e+00,4.969049692153930664e-01,1.027255773544311523e+00,2.855600118637084961e-01,9.190440922975540161e-02,8.803031593561172485e-02,4.200195968151092529e-01,-1.000000000000000000e+00,4.969049692153930664e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.510336274543307100e-01
